Step,with residual,wo residual
1217,-0.981292069,-0.939909935
1218,-0.98146522,-0.938795984
1220,-0.981507361,-0.939149976
1222,-0.981155455,-0.938577414
1224,-0.982177019,-0.940293312
1230,-0.981414914,-0.940480113
1231,-0.981802583,-0.938107133
1236,-0.980762839,-0.939009666
1237,-0.981749058,-0.938769817
1238,-0.982476115,-0.937687755
1239,-0.982474685,-0.937723398
1240,-0.982076168,-0.941515267
1241,-0.9826141,-0.938518882
1242,-0.981658578,-0.937324405
1243,-0.982087731,-0.938508391
1245,-0.981089771,-0.937995553
1246,-0.982523918,-0.937683761
1248,-0.982490659,-0.938913584
1249,-0.980994999,-0.942395568
1251,-0.982482076,-0.938576579
1252,-0.980539024,-0.937521696
1253,-0.981794715,-0.939682364
1254,-0.981263876,-0.937830448
1256,-0.979883671,-0.937276959
1258,-0.98299408,-0.938971519
1259,-0.981327176,-0.937826037
1260,-0.983698845,-0.943261206
1261,-0.981323123,-0.939578533
1263,-0.98261714,-0.938367486
1266,-0.982425451,-0.938479543
1267,-0.981412888,-0.938831687
1268,-0.981105447,-0.940948725
1270,-0.981356025,-0.940909684
1271,-0.979192019,-0.941221774
1273,-0.981113911,-0.940715909
1274,-0.981475234,-0.94019711
1275,-0.983056843,-0.940673709
1276,-0.97973907,-0.940103769
1277,-0.980638623,-0.939151049
1278,-0.981329679,-0.939619541
1279,-0.97972846,-0.941453457
1280,-0.981475592,-0.93976295
1282,-0.981040835,-0.941284239
1284,-0.979211569,-0.940690458
1286,-0.982628822,-0.940161765
1287,-0.982059598,-0.940113723
1289,-0.982532382,-0.942236364
1292,-0.982060432,-0.93987
1293,-0.982592821,-0.939402759
1294,-0.981606662,-0.941286027
1296,-0.981654525,-0.939032376
1297,-0.981427729,-0.940530419
1298,-0.980589628,-0.939053357
1299,-0.981108189,-0.940621793
1301,-0.981751204,-0.940105915
1302,-0.981350422,-0.939721286
1303,-0.981213331,-0.938742042
1304,-0.982347727,-0.940667987
1305,-0.98150605,-0.940328062
1306,-0.982251346,-0.939578533
1307,-0.981705904,-0.941191494
1309,-0.980464101,-0.942527235
1311,-0.98247838,-0.939408779
1312,-0.981393456,-0.940824687
1314,-0.982877731,-0.941263437
1316,-0.983558893,-0.939981699
1317,-0.981924891,-0.942442417
1318,-0.980802834,-0.94275403
1319,-0.983267188,-0.940362215
1320,-0.980254769,-0.941941142
1323,-0.981822014,-0.941713929
1328,-0.980489254,-0.939538777
1329,-0.980910242,-0.941182017
1331,-0.982856393,-0.939924419
1332,-0.981237054,-0.940880418
1334,-0.980450928,-0.940039992
1337,-0.978387356,-0.943188369
1339,-0.983141065,-0.94318217
1340,-0.98026228,-0.941388011
1341,-0.982566416,-0.941008627
1343,-0.980276942,-0.941321313
1346,-0.984352231,-0.942459226
1349,-0.983235002,-0.940957129
1350,-0.981041312,-0.941251874
1351,-0.982111394,-0.942236841
1352,-0.983316064,-0.939362168
1355,-0.981357574,-0.941531599
1356,-0.980255485,-0.940062702
1357,-0.981646597,-0.941048145
1359,-0.982682347,-0.941646218
1360,-0.980301499,-0.940863192
1361,-0.982374787,-0.943048
1365,-0.982200623,-0.940448165
1366,-0.980654478,-0.941172481
1371,-0.982138753,-0.939935207
1373,-0.984023809,-0.939741194
1374,-0.981698394,-0.941835284
1375,-0.981587112,-0.939241171
1377,-0.981672764,-0.943274617
1378,-0.981735587,-0.94177115
1380,-0.981106639,-0.943023801
1381,-0.981626153,-0.940875173
1382,-0.981232285,-0.940868139
1383,-0.983350992,-0.942430615
1386,-0.981550336,-0.942967296
1388,-0.98109901,-0.943862081
1389,-0.981718302,-0.940835953
1390,-0.982652426,-0.944300771
1394,-0.983639598,-0.94113332
1398,-0.981187463,-0.942569792
1400,-0.979738712,-0.941088796
1404,-0.982538581,-0.944107175
1405,-0.9799878,-0.94339323
1408,-0.981696844,-0.943541586
1409,-0.983104587,-0.944227457
1411,-0.980809093,-0.941328526
1412,-0.983133197,-0.943059802
1414,-0.9826563,-0.94283092
1417,-0.982199311,-0.942793906
1418,-0.981618822,-0.940846145
1419,-0.982293546,-0.941809416
1421,-0.983408511,-0.942758799
1422,-0.982158542,-0.942446768
1425,-0.983735263,-0.943100572
1427,-0.982255876,-0.942378402
1428,-0.982471347,-0.94396162
1435,-0.981720448,-0.94220686
1437,-0.980245113,-0.942596197
1444,-0.982650638,-0.942673445
1447,-0.982351482,-0.941494107
1448,-0.982588768,-0.940462828
1449,-0.982055545,-0.94544524
1450,-0.98199147,-0.941971719
1451,-0.982967973,-0.944999337
1452,-0.982618332,-0.943222284
1453,-0.981992364,-0.943371356
1455,-0.981940508,-0.942695141
1456,-0.981720626,-0.946636498
1458,-0.982271433,-0.941160679
1460,-0.980574727,-0.942964077
1461,-0.983098626,-0.944658518
1462,-0.981745839,-0.940849662
1463,-0.98350668,-0.942992926
1464,-0.98196286,-0.943583012
1469,-0.979622126,-0.944578409
1471,-0.98117578,-0.940639734
1472,-0.983749509,-0.943629801
1473,-0.981059551,-0.940517724
1479,-0.981942356,-0.944108963
1480,-0.982346416,-0.944297433
1482,-0.983205199,-0.94119662
1485,-0.979628801,-0.941076875
1489,-0.981094003,-0.94342792
1490,-0.980896592,-0.942733765
1491,-0.981086075,-0.941096723
1493,-0.981541276,-0.943777919
1497,-0.982197762,-0.94281137
1498,-0.982688367,-0.94346869
1499,-0.982736528,-0.945657849
1500,-0.981182814,-0.942540765
1501,-0.9813205,-0.945134044
1502,-0.981414318,-0.945672929
1503,-0.981379032,-0.942389727
1504,-0.983334482,-0.944384336
1507,-0.982024252,-0.943005681
1508,-0.980386257,-0.94447571
1509,-0.981849968,-0.943873584
1513,-0.983008146,-0.944445431
